clientId	timestamp	photo	authorName	message	value	is-member	channelId	channel	channel_name	video
CIWP792T6-sCFUxB4AodsZYKEw1600172850151	1600172889189695	https://yt3.ggpht.com/-A2BPGfEu4do/AAAAAAAAAAI/AAAAAAAAAAA/TBAZ9qVf_lU/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Микола Дончак	:elbowcough: 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CIn2preU6-sCFVdxsgodu6kGaw1600176593224	1600172891801054	https://yt3.ggpht.com/-tRgXu7rdV6U/AAAAAAAAAAI/AAAAAAAAAAA/AA-pMOrCIzE/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Anime Man	Путина за что? 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLHn_O-Q6-sCFVEY8QUdVIYBBA1600172891027	1600172891879697	https://yt3.ggpht.com/-d7wcX_aN7yo/AAAAAAAAAAI/AAAAAAAAAAA/uYZf-yqGMMk/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Луна	Бэн, это привычка 😜 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CKHh0NiO6-sCFRGOfAod7bMHjw0	1600172896117910	https://yt3.ggpht.com/-5aDp50k8UMY/AAAAAAAAAAI/AAAAAAAAAAA/khWCrcPjKGA/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Ира Егорова	ПУТИН УХОДИ 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CJmNysaN6-sCFbOofAodPHkNww2	1600172896961562	https://yt3.ggpht.com/-BaW2EsLdbuk/AAAAAAAAAAI/AAAAAAAAAAA/hb6dM6H8PRc/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Виктор Сургучев	МУЖ С.ТИХАНОВСКОЙ РОГАТЫЙ ОЛЕНЬ .С ЧЕМ ЕГО И ПОЗДРАВЛЯЕМ 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CIW9t_mQ6-sCFQLzVQodEaMGYw1600172899267	1600172900307056	https://yt3.ggpht.com/-DHwh7kb4B-c/AAAAAAAAAAI/AAAAAAAAAAA/PcfNIpjnznQ/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Pavel Pinchuk	лука ноги раставил перед путаной 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CIn7hZaT6-sCFRLsVQod2iALBw-3	1600172900479187	https://yt3.ggpht.com/-2kk3FPnL_D4/AAAAAAAAAAI/AAAAAAAAAAA/JCnCmKjC8Ec/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Aleksandr Torhov	НЕ ВЕРЬ КЛЯТВЕ ПУТИНА, СЛЕЗАМ ПАТРИАРХА И УЛЫБКЕ РОГОЗИНА 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
COzF0v-T6-sCFQbPVQodZR4POQ0	1600172901886282	https://yt3.ggpht.com/-eKQ2kHG_WZY/AAAAAAAAAAI/AAAAAAAAAAA/r0JSMUyBuAs/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Владимир Виноградов	Чекиста в отставку! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CI6z1KGR6-sCFYc14Aod2fcL0g1600172901289	1600172902100053	https://yt3.ggpht.com/-ye1GEMk_dk8/AAAAAAAAAAI/AAAAAAAAAAA/yDoMOtbDmXE/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Hans Weber	белорусы добавят Лукаша 100% 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
COa52uiR6-sCFWBBegUdU84J9A2	1600172907205966	https://yt3.ggpht.com/-sVbD17EFbvQ/AAAAAAAAAAI/AAAAAAAAAAA/Hfahymf_KJQ/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Жасмина Царева	ЦЫГАН СДАЛ СТРАНУ КАК СТЕКЛОТАРУ !!! ЖЫВЕ БЕЛАРУСЬ !!! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
